,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[19692],-3.05427,7.45087e-05,0.00376965,0.00382266,-3.06064,-3.05416,-3.04828,2624.97,2989.05,4.87793,1.00023
log_lik[19693],-0.927834,0.000156649,0.00830217,0.00836496,-0.941261,-0.927913,-0.914126,2862.16,3008.74,5.3187,1.00059
log_lik[19694],-1.02128,0.000205654,0.0103794,0.010142,-1.03842,-1.0212,-1.00409,2584.03,2838.09,4.80186,1.00131
log_lik[19695],-1.56583,0.000113999,0.00577855,0.00586376,-1.57546,-1.56573,-1.55652,2625.21,2989.05,4.87839,1.00024
log_lik[19696],-0.614878,0.000165697,0.00916271,0.00894132,-0.630186,-0.614678,-0.599758,3096.53,3141.29,5.75423,1.00099
log_lik[19697],-0.747252,0.000158803,0.00802001,0.00784542,-0.760653,-0.747274,-0.734076,2587.48,2926.38,4.80826,1.0012
log_lik[19698],-1.03815,0.000154155,0.00765916,0.0075391,-1.05104,-1.03818,-1.02561,2503.57,2754.0,4.65235,1.00119
log_lik[19699],-1.25449,0.00022106,0.0109695,0.010801,-1.27262,-1.25437,-1.23621,2497.53,2773.94,4.64112,1.00113
log_lik[19700],-2.06819,0.00020423,0.0102359,0.010354,-2.08491,-2.06826,-2.05135,2556.16,3013.66,4.75007,1.00027
log_lik[19701],-0.964832,0.000155764,0.00776067,0.00764241,-0.977837,-0.96488,-0.952129,2517.31,2734.57,4.67788,1.00121
log_lik[19702],-1.39215,0.000181637,0.00920712,0.00936358,-1.40719,-1.39224,-1.37697,2617.58,3014.15,4.8642,1.00023
log_lik[19703],-1.71438,0.000110274,0.00558323,0.00566242,-1.72368,-1.71427,-1.70537,2621.18,2989.05,4.8709,1.00025
log_lik[19704],-0.758502,0.000127529,0.00669326,0.00677169,-0.76957,-0.758416,-0.747693,2812.12,3035.41,5.22572,1.00065
log_lik[19705],-1.03815,0.000154155,0.00765916,0.0075391,-1.05104,-1.03818,-1.02561,2503.57,2754.0,4.65235,1.00119
log_lik[19706],-0.758502,0.000127529,0.00669326,0.00677169,-0.76957,-0.758416,-0.747693,2812.12,3035.41,5.22572,1.00065
log_lik[19707],-0.780658,0.000184396,0.00967185,0.0095193,-0.796681,-0.780531,-0.764636,2789.96,3042.0,5.18453,1.00157
log_lik[19708],-1.41751,0.000117554,0.00596967,0.00604968,-1.42745,-1.41743,-1.40786,2635.11,2943.09,4.89678,1.00023
log_lik[19709],-0.530791,0.00015505,0.00893557,0.00880274,-0.545932,-0.530649,-0.516137,3360.67,3464.99,6.24508,1.00155
log_lik[19710],-1.40741,0.000229318,0.0113126,0.0112097,-1.42611,-1.40724,-1.38844,2467.46,2713.95,4.58524,1.00108
log_lik[19711],-0.891848,0.000157117,0.00785555,0.00776005,-0.905025,-0.891883,-0.87899,2534.97,2734.8,4.7107,1.00117
log_lik[19712],-0.902754,0.000126813,0.00656408,0.00667238,-0.913596,-0.902639,-0.892189,2734.36,2995.72,5.08122,1.00047
log_lik[19713],-0.547805,0.000125339,0.00683719,0.0068357,-0.559159,-0.547761,-0.536727,3017.36,3270.37,5.60711,1.00052
log_lik[19714],-0.605407,0.000158574,0.00814095,0.0079253,-0.618989,-0.605439,-0.592068,2675.65,2994.47,4.97212,1.00159
log_lik[19715],-1.33114,0.000225342,0.0111451,0.0110389,-1.34954,-1.33098,-1.31248,2480.11,2723.79,4.60875,1.00107
log_lik[19716],-0.675896,0.000158977,0.00808663,0.00788037,-0.689379,-0.675917,-0.66263,2623.96,2914.51,4.87606,1.00132
log_lik[19717],-1.11173,0.00015234,0.00755216,0.00748098,-1.12448,-1.11176,-1.09936,2493.35,2743.84,4.63335,1.00106
log_lik[19718],-0.830362,0.000127341,0.00663188,0.00673322,-0.841321,-0.830246,-0.819679,2768.41,2995.12,5.14449,1.00057
log_lik[19719],-1.17737,0.000216406,0.0107844,0.0106211,-1.19519,-1.17719,-1.15942,2517.33,2734.57,4.67791,1.00123
log_lik[19720],-0.616999,0.000126601,0.00679532,0.00682334,-0.628298,-0.616944,-0.606014,2929.45,3220.73,5.44375,1.00051
log_lik[19721],-1.41751,0.000117554,0.00596967,0.00604968,-1.42745,-1.41743,-1.40786,2635.11,2943.09,4.89678,1.00023
log_lik[19722],-1.00688,0.000161959,0.00847305,0.00860093,-1.02062,-1.00695,-0.992966,2787.22,3019.36,5.17945,1.00056
log_lik[19723],-0.687317,0.000127307,0.00674772,0.00683934,-0.698584,-0.687237,-0.676465,2869.36,3081.66,5.33208,1.0006
